id,word,url,scrape_time,status,error
1,a,https://glosbe.com/yo/en/a,2025-05-07 00:32:48,success,
2,a dúpẹ́,https://glosbe.com/yo/en/a%20d%C3%BAp%E1%BA%B9%CC%81,2025-05-07 00:34:47,success,
3,a gba ọ̀rọ̀ àkọsílẹ̀ dúró,https://glosbe.com/yo/en/a%20gba%20%E1%BB%8D%CC%80r%E1%BB%8D%CC%80%20%C3%A0k%E1%BB%8Ds%C3%ADl%E1%BA%B9%CC%80%20d%C3%BAr%C3%B3,2025-05-06 14:02:54,success,
4,A kú ọdún àjíǹde,https://glosbe.com/yo/en/A%20k%C3%BA%20%E1%BB%8Dd%C3%BAn%20%C3%A0j%C3%AD%C7%B9de,2025-05-06 14:01:30,success,
5,a máa,https://glosbe.com/yo/en/a%20m%C3%A1a,2025-05-07 00:26:27,success,
6,a tan mákírò,https://glosbe.com/yo/en/a%20tan%20m%C3%A1k%C3%ADr%C3%B2,2025-05-07 00:44:32,success,
7,a óò,https://glosbe.com/yo/en/a%20%C3%B3%C3%B2,2025-05-06 13:42:11,success,
8,aago,https://glosbe.com/yo/en/aago,2025-05-06 13:43:17,success,
9,aago kan,https://glosbe.com/yo/en/aago%20kan,2025-05-06 13:25:58,success,
10,aago kan ààbọ̀,https://glosbe.com/yo/en/aago%20kan%20%C3%A0%C3%A0b%E1%BB%8D%CC%80,2025-05-06 14:21:06,success,
11,aago márùn-ún,https://glosbe.com/yo/en/aago%20m%C3%A1r%C3%B9n-%C3%BAn,2025-05-06 13:59:45,success,
12,aago márùn-ún ku ìṣẹ́jú mẹ́wàá,https://glosbe.com/yo/en/aago%20m%C3%A1r%C3%B9n-%C3%BAn%20ku%20%C3%AC%E1%B9%A3%E1%BA%B9%CC%81j%C3%BA%20m%E1%BA%B9%CC%81w%C3%A0%C3%A1,2025-05-06 14:03:55,success,
13,aago márùn-ún ààbọ̀,https://glosbe.com/yo/en/aago%20m%C3%A1r%C3%B9n-%C3%BAn%20%C3%A0%C3%A0b%E1%BB%8D%CC%80,2025-05-07 00:34:54,success,
14,aago méje,https://glosbe.com/yo/en/aago%20m%C3%A9je,2025-05-06 13:42:27,success,
15,aago méje ààbọ̀,https://glosbe.com/yo/en/aago%20m%C3%A9je%20%C3%A0%C3%A0b%E1%BB%8D%CC%80,2025-05-06 13:52:58,success,
16,aago méjì,https://glosbe.com/yo/en/aago%20m%C3%A9j%C3%AC,2025-05-06 13:48:07,success,
17,aago méjì ààbọ̀,https://glosbe.com/yo/en/aago%20m%C3%A9j%C3%AC%20%C3%A0%C3%A0b%E1%BB%8D%CC%80,2025-05-06 14:09:33,success,
18,aago méjìlá,https://glosbe.com/yo/en/aago%20m%C3%A9j%C3%ACl%C3%A1,2025-05-07 00:49:52,success,
19,aago méjìlá ààbọ̀,https://glosbe.com/yo/en/aago%20m%C3%A9j%C3%ACl%C3%A1%20%C3%A0%C3%A0b%E1%BB%8D%CC%80,2025-05-06 14:16:51,success,
20,aago mẹ́fà,https://glosbe.com/yo/en/aago%20m%E1%BA%B9%CC%81f%C3%A0,2025-05-06 13:32:02,success,
21,aago mẹ́fà ààbọ̀,https://glosbe.com/yo/en/aago%20m%E1%BA%B9%CC%81f%C3%A0%20%C3%A0%C3%A0b%E1%BB%8D%CC%80,2025-05-07 00:42:09,success,
22,aago mẹ́jọ,https://glosbe.com/yo/en/aago%20m%E1%BA%B9%CC%81j%E1%BB%8D,2025-05-06 14:28:24,success,
23,aago mẹ́jọ ààbọ̀,https://glosbe.com/yo/en/aago%20m%E1%BA%B9%CC%81j%E1%BB%8D%20%C3%A0%C3%A0b%E1%BB%8D%CC%80,2025-05-07 00:30:41,success,
24,aago mẹ́rin,https://glosbe.com/yo/en/aago%20m%E1%BA%B9%CC%81rin,2025-05-06 13:42:20,success,
